,项目类别,项目名称
127,其他费,术前12小时禁饮食
128,其他费,流食
129,其他费,肝肾功
130,其他费,输血前四项
131,其他费,心电图 胸腹平片 腹部B超
132,西药费,氯化钠注射液&lt;100ml&gt;
133,其他费,按肝胆泌尿外科常规护理
134,其他费,血尿常规 血型 凝血系列
135,其他费,术前常规备皮
136,其他费,头孢噻肟皮试
137,西药费,注射用头孢噻肟钠&lt;1.0g&gt;
138,其他费,留陪人
139,其他费,禁饮食
140,其他费,常规留置导尿
141,西药费,果糖注射液&lt;250ml&gt;
142,其他费,定于明日8：00在全麻下LA术
143,其他费,按全麻下LA术后常规护理
144,其他费,吸氧
145,西药费,盐酸溴已新葡萄糖注射液&lt;100ml&gt;
149,西药费,氯化钾&lt;10ml*5&gt;
150,其他费,病检
151,西药费,10%葡萄糖注射液&lt;500ml&gt;
152,西药费,奥硝唑氯化钠注射液&lt;100ml:0.25g&gt;
154,西药费,维生素B6注射液&lt;1ml:50mg*10支&gt;
155,西药费,5%葡萄糖注射液&lt;500ml&gt;
156,其他费,心电监护
157,其他费,留置导尿
158,其他费,血管夹3个
160,西药费,维生素C注射液&lt;1.0g*5&gt;
164,其他费,换药
166,西药费,复合磷酸氢钾注射液&lt;2ml&gt;
374,西药费,头孢克肟分散片&lt;100mg*12s&gt;
381,其他费,拆线出院
584,西药费,氯化钾注射液
585,西药费,氯化钠注射液
587,西药费,5%葡萄糖注射液500ml
589,西药费,注射用头孢唑肟钠
593,西药费,脂溶性维生素(II)
606,西药费,维生素C注射液
621,西药费,维生素B6注射液
622,西药费,注射用果糖
653,西药费,注射用头孢西丁钠
783,西药费,10%葡萄糖注射液500ml注射液
787,西药费,注射用青霉素钠
788,西药费,5%葡萄糖注射液250ml
800,西药费,注射用头孢美唑钠
801,西药费,注射用奥美拉唑钠
838,西药费,转化糖
840,西药费,利巴韦林注射液
877,西药费,复方氯化钠注射液
944,西药费,5%葡萄糖注射液（袋）&lt;250ml&gt;
946,西药费,注射用奥硝唑&lt;0.25g&gt;
947,西药费,氯化钾注射液&lt;1g/10ml*5&gt;
948,西药费,5%葡萄糖注射液&lt;100ml袋）&gt;
951,西药费,10%葡萄糖注射液&lt;500ml《袋》&gt;
952,西药费,多烯磷脂胆碱注射液&lt;232.5mg:5ml&gt;
953,西药费,乳酸左氧氟沙星氯化钠注射液&lt;100ml:0.2g&gt;
954,检查费,X线体层摄影
955,检查费,床旁心电图检查
956,化验费,凝血机能
957,化验费,电解质测定
958,西药费,注射用氨苄青霉素钠&lt;0.5g&gt;
959,其他费,术前12小时禁食，4小时禁饮
960,其他费,术前下尿管
961,化验费,肾功化验
962,化验费,乙肝系列
964,其他费,术后医嘱
965,其他费,监测血氧饱和度
966,其他费,留置尿管
968,西药费,维生素C注射液&lt;1g:5ml*5&gt;
972,西药费,5%葡萄糖注射液&lt;500ml（袋）&gt;
973,化验费,葡萄糖测定
974,其他费,II级护理
977,其他费,拟定于明日09：00在手术室硬膜外麻醉下行阑尾切除术
985,西药费,乳酸钠林格注射液&lt;500ml&gt;
987,西药费,18-氨基酸&lt;16.12g:500ml&gt;
988,其他费,大换药
990,西药费,0.9%氯化钠注射液&lt;100ml（袋）&gt;
991,其他费,清质流食
992,其他费,I级护理
994,西药费,维生素B6注射液&lt;2ml:100mg*10&gt;
1000,西药费,泮托拉唑注射液&lt;40mg&gt;
1002,检查费,胸部正位DR
1003,化验费,血常规检验
1004,化验费,肝功化验
1005,化验费,粪常规检验
1006,西药费,盐酸氨溴索注射液&lt;15mg&gt;
1014,西药费,丹红注射液&lt;10ml&gt;
1019,其他费,测BP            Q8h
1022,其他费,腹部B超               已做
1023,其他费,血常规                已做
1024,化验费,传染病系列1检查
1025,其他费,按硬膜外麻醉下阑尾切除术后常规护理
1028,化验费,心肌酶谱
1029,其他费,术区备皮（术前30分钟）
1030,其他费,去枕平卧位
1034,其他费,半流食
1037,其他费,测BP             Q8h
1038,其他费,按外科常规护理
1043,西药费,注射用七叶皂苷钠&lt;10mg&gt;
1048,化验费,尿常规检验
1058,化验费,卡式血型鉴定
1059,其他费,送手术通知单
1065,其他费,复查血常规
1067,西药费,0.9%氯化钠注射液&lt;100ml&gt;
1068,西药费,注射用盐酸氨溴索&lt;30mg&gt;
1069,西药费,利巴韦林含片&lt;20mg*24s&gt;
1070,西药费,10%氯化钾注射液&lt;10ml:1g*5&gt;
1072,西药费,氨甲苯酸注射液&lt;10ml:0.1g*5&gt;
1073,西药费,乳酸纳林格&lt;500ml&gt;
1074,其他费,一次性腹带&lt;1包*10个&gt;
1075,其他费,一次性输血器&lt;1*25&gt;
1076,西药费,2%甲硝唑氯化钠注射液&lt;250ml:1.25g&gt;
1077,其他费,Ⅱ级护理
1078,西药费,5%葡萄糖注射液&lt;250ml&gt;
1079,其他费,标本送病检
1081,其他费,电解质
1082,其他费,血脂
1083,其他费,心电图
1084,其他费,D2聚体
1086,其他费,拟定于明日10时在全麻下行腹腔镜阑尾切除术
1087,西药费,0.9%氯化钠注射液&lt;500ml&gt;
1088,其他费,Ⅰ级护理
1089,西药费,丹参川芎嗪注射液&lt;5ml&gt;
1092,其他费,一次性雾化杯&lt;个&gt;
1094,其他费,特级护理
1095,其他费,动态血压监测
1096,其他费,生物铗&lt;个&gt;
1097,其他费,结扎夹&lt;个&gt;
1101,其他费,术前禁饮食
1108,西药费,西米替丁注射液&lt;0.2g*10&gt;
